id,geometry,timestamp,dB,frequency,Spotter
1517061441,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 18:05:00",13,14057.6,VE6JY
1517059220,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-94.9583,39.1458]]}","2023/01/18 17:52:00",6,14057.6,K3PA-1
1517059036,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-73.9583,45.0208]]}","2023/01/18 17:50:00",4,14057.7,VE2WU
1517058374,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 17:47:00",6,14057.6,VE6JY
1517057189,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-94.9583,39.1458]]}","2023/01/18 17:41:00",5,14057.6,K3PA-1
1517056514,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-94.9583,39.1458]]}","2023/01/18 17:37:00",6,14057.6,K3PA-1
1517056352,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 17:37:00",8,14057.7,VE6JY
1517054921,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-114.4583,51.8125]]}","2023/01/18 17:28:00",3,14057.7,VE6WZ
1517053425,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.0417,47.5208]]}","2023/01/18 17:19:00",4,14057.7,WF7U
1517053296,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:18:00",13,14057.7,WA7AI
1517053249,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:18:00",13,14057.7,WA7AI
1517050827,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:07:00",12,14058.3,WA7AI
1517049777,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:01:00",11,14058.3,WA7AI
1517048751,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 16:56:00",6,14058.4,VE6JY
1517048648,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 16:55:00",12,14057.7,WA7AI
1517017140,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 14:03:00",5,14057.7,WA7AI
1517016892,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 14:03:00",2,14058.3,WA7AI
1517016863,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/18 14:02:00",1,14058.3,NC7J
1517016850,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 14:02:00",6,14058.3,N6WIN-7
1517016679,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 14:01:00",1,14057.7,W6YX
1517016613,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 14:01:00",11,14057.7,K2PO/7
1517015328,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 13:56:00",15,14058.4,K2PO/7
1517012818,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 13:45:00",1,14057.7,W6YX
1517012715,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 13:45:00",10,14057.7,N6WIN-7
1516993493,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 12:40:00",4,14058.3,N6WIN-7
1516993312,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 12:39:00",11,14058.3,K2PO/7
1516992202,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 12:34:00",5,14057.7,WA7AI
1516991933,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 12:33:00",12,14057.7,K2PO/7
1516991929,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 12:33:00",5,14057.6,N6WIN-7
1516989868,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 12:26:00",6,14058.3,WA7AI
1516982810,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 12:00:00",7,14058.3,N6WIN-7
1516979537,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 11:56:00",7,14058.3,WA7AI
1516979520,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 11:56:00",11,14058.3,K2PO/7
1516978625,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 11:55:00",9,14057.7,K2PO/7
1516974833,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 11:51:00",6,14058.3,N6WIN-7
1516937455,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 11:13:00",1,14058.3,W6YX
1516937325,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 11:13:00",7,14058.3,N6WIN-7
1516935388,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 11:11:00",1,14058.3,W6YX
1516934502,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 11:10:00",4,14057.7,WA7AI
1516934334,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 11:10:00",7,14057.6,N6WIN-7
1516933557,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 11:09:00",4,14057.7,WA7AI
1516932299,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 11:08:00",2,14057.7,W6YX
1516932280,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 11:08:00",11,14057.7,K2PO/7
1516932001,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 11:07:00",6,14057.7,VE6JY
1516931583,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 11:07:00",9,14057.7,N6WIN-7
1516927942,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 11:03:00",9,14058.4,K2PO/7
1516927593,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 11:02:00",8,14058.3,N6WIN-7
1516927592,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 11:02:00",8,14058.3,N6WIN-7
1516925901,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 11:01:00",6,14058.4,WA7AI
1516904261,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 10:22:00",7,14058.3,K2PO/7
1516904062,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 10:22:00",6,14057.7,WA7AI
1516850418,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 08:35:00",11,14058.3,WA7AI
1516849959,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/18 08:34:00",6,14058.3,NC7J
1516848588,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/18 08:30:00",4,14057.7,NC7J
1516848547,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 08:30:00",1,14057.7,W6YX
1516846124,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 08:24:00",12,14058.3,N6WIN-7
1516846014,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 08:24:00",15,14058.4,WA7AI
1516809260,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 07:10:00",1,14057.7,W6YX
1516800696,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 06:53:00",1,14057.7,W6YX
1516763697,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 05:50:00",2,14057.7,W6YX
1516679502,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 03:24:00",1,14057.7,W6YX
1516598341,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/17 20:35:00",2,14057.7,W6YX
